Node-Id;Titel;Url;Bezugsquelle;Spider;Liste
8a3da8cc-31b0-4f66-b9f8-006ce8d40143;Medienpädagogik der Vielfalt | Gesellschaft für Medienpädagogik und Kommunikationskultur (GMK) e.V.;https://medien-und-vielfalt.gmk-net.de/;wirlernenonline_spider;wirlernenonline_spider;whitelist
e88119a5-3a87-4cfe-8b47-f7855513469b;MediothekPixiothek;https://www.schulportal-thueringen.de/media/start;mediothek_pixiothek_spider;mediothek_pixiothek_spider;whitelist
d1546c0d-640a-4bd0-bfc9-bba65dd61798;MediothekPixiothek (2);https://www.schulportal-thueringen.de/media/start;mediothek_pixiothek_spider;mediothek_pixiothek_spider;whitelist
62e75c13-75ee-4623-8b46-689cdd33e004;Memucho;https://memucho.de/;memucho_spider;memucho_spider;whitelist
823d0970-8b80-4536-96d4-3be356131d38;Methodenblätter | Lehrerfortbildungsserver Baden-Württemberg;https://lehrerfortbildung-bw.de/st_if/bs/if/unterrichtsgestaltung/methodenblaetter/;;;whitelist
c4ede21c-13cc-4439-bff6-a59fa7df209f;Methodenkartei – Unterrichtsmethoden von A bis Z (digital, kreativ, präsent, methodisch, praktisch,gut);https://www.methodenkartei.uni-oldenburg.de/;;;whitelist
3185ac1a-1213-4694-a49b-2483292e5a2e;Methodenpool für zeitgemäßen Unterricht ;https://www.netzwerk-digitale-bildung.de/methodenpool/;;;whitelist
4a762c76-7969-4c22-80d2-43494380c56d;NiBis (Niedersachsen Abi);https://za-aufgaben.nibis.de/;niedersachsen_abi_spider;niedersachsen_abi_spider;whitelist
572b1dd5-044b-4cc7-9e53-29ae92af6433;OERSI - Open Educational Resources Search Index;https://oersi.org/resources/;OERSI;oersi_spider;whitelist
c2b24133-b6cb-423e-b7b0-9c4882116323;OHRKA e.V.: Hörspiele, Lesungen und Reportagen für Kinder;https://redaktion.openeduhub.net/edu-sharing/components/render/c2b24133-b6cb-423e-b7b0-9c4882116323;;;whitelist
c0571479-d1b3-44c3-a76a-6f850fb67385;Ohrka e.V.;https://www.ohrka.de/;;;whitelist
990e1189-881a-417e-8864-340a1eb8d8ef;Ozobot - Roboterprogrammierung durch eingebaute Farb- und Helligkeitssensoren | TüftelLab digital;https://digital.tueftellab.de/mod/page/view.php?id=462%2F;;;whitelist
8cf80ee1-6379-49f8-b3bb-92b9f3dbf89b;PhET-Simulationen;https://phet.colorado.edu/de/simulations/filter?subjects=chemistry&type=html&sort=alpha&view=grid;;;whitelist
cb7bb5b0-b191-413c-be6c-0cfd716cb521;PhysikDigital.de;https://www.physikdigital.de;wirlernenonline_spider;wirlernenonline_spider;whitelist
73a3e694-edd3-45c5-88c3-46c643280c2e;Physikaufgaben online;https://www.internet-abc.de/kinder/lernen-schule/hausaufgabenhelfer/linktipps-physik/;;;whitelist
e18cf769-7427-465c-858c-43700999eee9;Planet Schule;https://www.planet-schule.de/;planet_schule_spider;planet_schule_spider;whitelist
f07dff34-44f9-448f-8c81-bcb9e175c803;Planet Schule (3);https://www.planet-schule.de/;planet_schule_spider;planet_schule_spider;whitelist
d09ef3d7-52ae-4a1b-94eb-68b6a38f0184;Planet Schule (falsch);https://www.planet-schule.de/;planet_schule_spider;planet_schule_spider;whitelist
621496f8-af8b-4fab-b8cb-d42a4745cc12;Planet-N - nachhaltig<keit> lernen;https://www.planet-n.de/;;;whitelist
d185b1f7-0f3e-4325-b42c-f30593196e7e;Planet-N – nachhaltig<keit> lernen;http://www.planet-n.de;planet_n_spider;planet_n_spider;whitelist
